player_name,team_name,competition_name
Kunal Singh Rathore,RAJASTHAN ROYALS,IPL
Donovan Ferreira,RAJASTHAN ROYALS,IPL
Rovman Powell,RAJASTHAN ROYALS,IPL
Shubham Dubey,RAJASTHAN ROYALS,IPL
Tom Kohler-Cadmore,RAJASTHAN ROYALS,IPL
Ravichandran Ashwin,RAJASTHAN ROYALS,IPL
Abid Mushtaq,RAJASTHAN ROYALS,IPL
Avesh Khan,RAJASTHAN ROYALS,IPL
Kuldeep Sen,RAJASTHAN ROYALS,IPL
Navdeep Saini,RAJASTHAN ROYALS,IPL
Prasidh Krishna,RAJASTHAN ROYALS,IPL
Sandeep Sharma,RAJASTHAN ROYALS,IPL
Trent Boult,RAJASTHAN ROYALS,IPL
Yuzvendra Chahal,RAJASTHAN ROYALS,IPL
Adam Zampa,RAJASTHAN ROYALS,IPL
Nandre Burger,RAJASTHAN ROYALS,IPL
Faf du Plessis,ROYAL CHALLENGERS BANGALORE,IPL
Rajat Patidar,ROYAL CHALLENGERS BANGALORE,IPL
Virat Kohli,ROYAL CHALLENGERS BANGALORE,IPL
Anuj Rawat,ROYAL CHALLENGERS BANGALORE,IPL
Dinesh Karthik,ROYAL CHALLENGERS BANGALORE,IPL
Suyash Prabhudessai,ROYAL CHALLENGERS BANGALORE,IPL
Will Jacks,ROYAL CHALLENGERS BANGALORE,IPL
Saurav Chauhan,ROYAL CHALLENGERS BANGALORE,IPL
Glenn Maxwell,ROYAL CHALLENGERS BANGALORE,IPL
Mahipal Lomror,ROYAL CHALLENGERS BANGALORE,IPL
Karn Sharma,ROYAL CHALLENGERS BANGALORE,IPL
Cameron Green,ROYAL CHALLENGERS BANGALORE,IPL
Swapnil Singh,ROYAL CHALLENGERS BANGALORE,IPL
Mayank Dagar,ROYAL CHALLENGERS BANGALORE,IPL
Manoj Bhandage,ROYAL CHALLENGERS BANGALORE,IPL
Akash Deep,ROYAL CHALLENGERS BANGALORE,IPL
Alzarri Joseph,ROYAL CHALLENGERS BANGALORE,IPL
Lockie Ferguson,ROYAL CHALLENGERS BANGALORE,IPL
Mohammed Siraj,ROYAL CHALLENGERS BANGALORE,IPL
Yash Dayal,ROYAL CHALLENGERS BANGALORE,IPL
Tom Curran,ROYAL CHALLENGERS BANGALORE,IPL
Reece Topley,ROYAL CHALLENGERS BANGALORE,IPL
Himanshu Sharma,ROYAL CHALLENGERS BANGALORE,IPL
Rajan Kumar,ROYAL CHALLENGERS BANGALORE,IPL
Vijaykumar Vyshak,ROYAL CHALLENGERS BANGALORE,IPL
Abdul Samad,SUNRISERS HYDERABAD,IPL
Aiden Markram,SUNRISERS HYDERABAD,IPL
Rahul Tripathi,SUNRISERS HYDERABAD,IPL
Glenn Phillips,SUNRISERS HYDERABAD,IPL
Mayank Agarwal,SUNRISERS HYDERABAD,IPL
Heinrich Klaasen,SUNRISERS HYDERABAD,IPL
Anmolpreet Singh,SUNRISERS HYDERABAD,IPL
Vijaykumar Vyshak,SUNRISERS HYDERABAD,IPL
Nitish Kumar Reddy,SUNRISERS HYDERABAD,IPL
Travis Head,SUNRISERS HYDERABAD,IPL
Abhishek Sharma,SUNRISERS HYDERABAD,IPL
Marco Jansen,SUNRISERS HYDERABAD,IPL
Washington Sundar,SUNRISERS HYDERABAD,IPL
Sanvir Singh,SUNRISERS HYDERABAD,IPL
Wanindu Hasaranga,SUNRISERS HYDERABAD,IPL
Jhathavedh Subramanyan,SUNRISERS HYDERABAD,IPL
Akash Singh,SUNRISERS HYDERABAD,IPL
Shahbaz Ahmed,SUNRISERS HYDERABAD,IPL
Bhuvneshwar Kumar,SUNRISERS HYDERABAD,IPL
Fazalhaq Farooqi,SUNRISERS HYDERABAD,IPL
Jaydev Unadkat,SUNRISERS HYDERABAD,IPL
T Natarajan,SUNRISERS HYDERABAD,IPL
Umran Malik,SUNRISERS HYDERABAD,IPL
Mayank Markande,SUNRISERS HYDERABAD,IPL
Pat Cummins,SUNRISERS HYDERABAD,IPL
